epoch,metric1,metric2
1,-214.0546,-563.49054
2,-238.04321,-595.3905
3,-242.55493,-592.84503
4,-223.91185,-540.30975
5,-118.23203,-494.1778
6,-391.13373,-519.01697
7,-409.31262,-480.17374
8,-319.4474,-557.8253
9,-206.20572,-539.48535
10,-283.83795,-548.11255
11,-482.07474,-613.66077
12,-530.7703,-537.5137
13,-516.4371,-552.92865
14,-550.87555,-513.7186
15,-473.93674,-401.48172
16,-334.3431,-483.31113
17,-493.49744,-196.72025
18,-207.83719,65.750404
19,177.83969,-213.79321
20,-297.19217,131.56229
21,-178.71342,99.81934
22,470.0642,811.1923
23,864.11975,600.6412
24,778.7491,1066.4319
25,913.76514,1273.6699
26,1326.6962,1674.7933
27,1464.5925,1886.1062
28,1806.8374,1858.7002
29,1697.3325,2144.9062
30,2152.267,2434.8765
31,2359.111,2475.5972
32,2546.1636,2525.6704
33,2579.034,2192.1821
34,1092.423,2679.6125
35,2651.615,2868.2173
36,2731.7625,3174.638
37,2936.0793,2836.3188
38,3172.5386,2919.1875
39,2600.4526,2931.83
40,2672.6611,2668.7876
41,3054.249,3281.815
42,3166.2976,3073.7166
43,3173.2026,3339.3433
44,3103.5032,3547.2039
45,3256.5164,3692.2305
46,3673.726,3657.655
47,3405.073,3804.5984
48,3593.341,3953.0508
49,3615.6626,3857.6316
50,3681.519,3993.3652
51,3847.8857,4066.0125
52,3753.9136,3886.4316
53,3870.725,4055.3699
54,3817.5396,3964.0386
55,3732.0554,3749.4038
56,3515.679,4042.6472
57,3692.9802,4223.065
58,3982.1619,4225.755
59,4044.2144,4248.3276
60,4084.5771,4288.067
61,4060.2952,4181.479
62,3903.397,4185.849
63,4064.0105,4347.53
64,4065.7983,4242.512
65,4172.1875,4416.617
66,4284.4297,4334.8013
67,4240.1772,4404.727
68,4206.0903,4364.949
69,4096.9326,4405.866
70,4010.3381,4361.839
71,4084.5625,4393.6187
72,4138.848,4465.616
73,4220.2144,4218.66
74,4225.457,3985.03
75,4080.4917,3621.7234
76,4322.8374,4327.271
77,4192.022,4318.216
78,4006.2563,3161.0808
79,4019.3245,4528.454
80,4337.5874,3507.7747
81,4157.293,4483.719
82,4295.5747,4117.172
83,4036.8071,4231.8975
84,2633.3506,4391.082
85,4156.9473,4557.067
86,4215.859,4622.32
87,4374.165,4586.47
88,4428.211,4644.8896
89,4288.6064,4482.3306
90,4242.0483,4601.948
91,4449.7095,4647.448
92,4355.8013,4654.9346
93,4299.3633,4442.618
94,4336.64,4674.1094
95,4237.8486,4401.842
96,4414.9673,4130.0674
97,4166.275,4509.282
98,4112.08,4688.998
99,4308.101,4665.277
100,4543.7896,4604.0474
101,4291.053,4597.242
102,4334.7715,4150.28
103,4441.2266,4625.0093
104,4390.443,4496.2744
105,4517.4224,4649.624
106,4417.5986,4284.0938
107,4436.2856,4655.3774
108,4446.6704,4667.169
109,4475.197,4584.126
110,4317.2495,4609.0103
111,4488.7617,4801.2354
112,4459.063,4334.652
113,4526.583,4745.21
114,4487.8413,4760.3794
115,4509.2534,4799.0674
116,4588.8936,4495.548
117,4300.6426,4531.704
118,4403.231,4702.923
119,4452.9443,4529.5127
120,4323.8574,4484.7905
121,4365.679,4569.7427
122,4217.375,4105.8623
123,4307.1885,4796.513
124,4517.194,4596.36
125,4403.416,4387.9155
126,4410.621,4639.1694
127,4303.462,4806.376
128,4577.8125,4554.0825
129,4387.214,4829.1943
130,4570.0737,4896.8945
131,4650.1167,4662.5625
132,4369.5596,4889.1807
133,4605.5684,4934.156
134,4429.3228,4967.39
135,4537.5073,4950.4443
136,4758.1304,4945.013
