epoch,metric1,metric2
1,126.75699,75.19234
2,129.38857,99.68445
3,127.69253,98.045006
4,122.01728,75.64637
5,119.2967,75.629196
6,134.8642,75.603264
7,121.928474,75.6761
8,114.99121,75.66704
9,125.079956,79.952415
10,118.158615,250.82549
11,250.80916,221.41074
12,220.06781,99.794945
13,104.20573,329.7732
14,285.38385,334.9839
15,302.23203,257.0371
16,251.51675,293.99265
17,284.03003,351.6535
18,401.7466,345.13568
19,379.0085,353.42023
20,418.95178,269.83322
21,320.5141,337.9027
22,347.10944,263.55695
23,282.16956,239.94296
24,260.95694,402.83112
25,356.79688,323.56223
26,355.94104,303.97726
27,314.25275,371.80838
28,364.52692,303.69293
29,331.26996,287.18237
30,341.16647,252.18872
31,296.29956,93.70766
32,116.44149,324.16953
33,347.6976,221.64453
34,234.861,306.78998
35,255.89249,297.6378
36,317.99442,335.5936
37,337.78806,465.26254
38,390.93225,387.25653
39,431.19266,341.21967
40,375.66638,396.98843
41,402.5474,439.79678
42,382.09238,405.7169
43,411.74435,294.1468
44,392.33224,398.00558
45,403.78012,330.5031
46,366.94156,322.39142
47,349.5165,414.14062
48,408.58228,319.19574
49,369.07968,464.47028
50,458.51758,403.61038
51,470.82352,461.6927
52,459.8262,415.84235
53,395.08997,405.34183
54,346.33795,424.9358
55,401.00827,354.94107
56,364.94315,439.98657
57,388.59744,272.19366
58,297.67654,433.63226
59,393.08713,422.12686
60,466.4124,435.1578
61,425.18497,367.8256
62,379.75385,381.33563
63,418.66724,364.37262
64,365.86325,385.64877
65,365.958,444.1858
66,441.2849,365.60797
67,419.64172,550.84436
68,490.38495,429.08344
69,411.7866,371.4575
70,365.92883,387.33652
71,459.6546,421.27164
72,513.1018,391.817
73,492.11655,414.30298
74,377.26614,449.03595
75,445.24747,414.0743
76,480.23505,410.32285
77,424.4751,393.38425
78,427.92062,400.68317
79,416.01096,434.2658
80,513.11816,471.96304
81,467.62265,473.76636
82,434.20084,399.25555
83,477.8546,425.0755
84,419.3868,522.3415
85,453.70154,469.30557
86,406.53595,451.81317
87,472.41962,419.45596
88,376.9135,479.84293
89,447.71457,455.07462
90,412.7745,606.07294
91,478.39728,463.06854
92,467.1029,439.02066
93,464.34424,409.31442
94,474.99863,437.09238
95,494.5201,409.14203
96,440.63632,379.30634
97,407.10562,431.8532
98,471.2786,507.58307
99,466.60507,484.6369
100,485.63028,491.11417
101,451.5746,396.2424
102,446.7465,393.65503
103,447.2837,504.11664
104,479.7548,478.93085
105,429.1614,470.43927
106,491.92255,486.63565
107,485.08368,443.84442
108,447.39096,621.7971
109,510.89948,370.658
110,487.9873,608.3654
111,573.7098,571.6911
112,506.46973,542.8011
113,545.67993,448.93073
114,480.53958,370.23746
115,417.05536,517.615
116,461.93448,416.97345
117,496.43564,544.9724
118,478.38666,387.20312
119,571.82477,522.6588
120,644.69006,550.06915
121,592.2262,571.6417
122,503.2789,465.27368
123,419.93225,587.49286
124,497.84293,609.0022
125,557.41174,407.39764
126,431.743,522.67554
127,501.75067,491.3614
128,457.7828,369.72485
129,376.6014,545.7542
130,488.53943,521.73706
131,466.19662,501.40753
132,479.34824,500.22125
133,515.12036,456.8205
134,454.74316,582.4381
135,505.21036,590.99414
136,531.633,602.8551
137,579.47534,636.5675
138,575.89325,585.71765
139,639.82043,350.4901
140,453.0337,610.92847
141,570.4402,618.85913
142,506.6276,524.8185
143,446.9462,421.24414
144,445.57663,625.80536
145,620.5274,357.7264
146,500.61417,403.33536
147,515.27246,489.67838
148,485.48486,429.91388
149,518.20184,630.9298
150,517.7757,576.7528
151,605.5445,509.62482
152,517.7717,591.8883
153,581.99384,517.8771
154,607.20605,530.31604
155,535.95435,550.14453
156,546.60986,549.54895
157,596.7585,575.50684
158,674.0248,583.1759
159,516.8709,593.34674
160,543.4772,490.1535
161,554.8984,508.7181
162,451.981,607.7032
163,595.86096,673.7761
164,643.84863,566.08563
165,583.32544,635.3429
166,533.065,607.6831
167,598.1235,503.4077
168,545.4607,569.92126
169,463.4846,717.38635
170,625.18286,583.8866
171,528.2626,578.46606
172,558.1572,534.5799
173,536.29755,579.322
174,585.2619,518.1835
175,591.2952,547.7764
176,513.97437,554.11005
177,559.4408,617.556
178,644.10785,543.9198
179,574.2068,506.9157
180,574.81036,612.9589
181,529.15155,550.6527
182,553.1118,611.96924
183,617.62976,599.7631
184,647.37213,726.00275
185,597.34357,625.77075
186,648.7489,586.72595
187,605.15063,615.43866
188,677.065,540.24225
189,505.0601,620.6754
190,574.1886,559.1033
191,555.8988,560.9889
192,566.77673,564.50793
193,541.0237,678.07074
194,688.00885,529.99567
195,640.9418,506.14355
196,537.80554,626.2329
197,556.464,571.6049
198,629.1764,609.5287
199,586.6932,706.5066
200,588.71704,589.4911
201,595.29663,514.4801
202,503.9589,560.49817
203,590.615,677.3561
204,547.14417,581.36304
205,657.06366,450.0381
206,531.034,621.96765
207,713.8439,524.5897
208,605.02985,588.27094
209,596.0174,557.62823
210,536.51166,559.61053
211,590.6901,512.5982
212,501.42966,610.24774
213,529.7906,529.45154
214,609.5178,501.13925
215,483.74777,571.8244
216,574.93335,564.9954
217,538.9813,635.0343
218,639.33575,562.2067
219,592.8967,549.1325
220,569.35535,602.6538
221,710.8892,606.26373
222,691.69995,667.42615
223,627.0523,736.31854
224,759.94086,607.50604
225,554.52966,631.91364
226,605.969,708.6915
227,749.4134,667.174
228,761.59216,615.88525
229,526.6547,643.27716
230,654.1245,647.08154
231,683.7803,805.07904
232,588.128,723.97723
233,689.44415,720.714
234,694.6354,617.4396
235,694.4705,676.4689
236,762.0407,660.23914
237,665.2644,692.52893
238,667.2396,792.2195
239,599.8106,666.0749
240,808.6577,781.9909
241,763.0617,593.92206
242,567.9085,748.54065
243,662.5631,588.27716
244,592.1701,700.5769
245,635.19763,702.69073
246,741.5727,788.64905
247,714.38513,562.9671
248,594.4335,694.24274
249,839.11566,633.996
250,674.32306,632.01117
251,659.5314,641.57
252,650.6442,788.6308
253,699.6216,764.039
254,943.91614,859.98956
255,926.0047,694.05176
256,750.34827,624.00525
257,839.5975,588.1524
258,709.8122,772.67194
259,776.5515,702.4491
260,679.9432,658.8642
261,666.86414,726.92926
262,748.836,812.58594
263,698.1255,861.9012
264,1006.507,963.31915
265,977.03485,728.07446
266,702.2651,763.4856
267,736.39404,851.5748
268,952.2605,860.49817
269,952.141,739.01025
270,757.7834,721.58105
271,761.5045,755.912
272,845.4001,817.51514
273,734.3709,697.5077
274,916.02734,816.9477
275,665.3609,819.4725
276,905.8735,905.5765
277,922.41394,717.8788
278,769.52496,762.39465
279,716.56573,808.1628
280,788.10956,658.60187
281,707.9129,909.118
282,824.78436,560.2299
283,703.5768,839.3651
284,717.4057,676.3537
285,626.36163,964.7469
286,798.2985,894.8097
287,741.5147,1004.6346
288,892.5804,747.2411
289,782.76495,967.94305
290,782.5417,859.9904
291,695.9737,726.7765
292,747.7609,752.8597
293,849.72076,957.4531
294,705.32404,824.91425
295,748.98114,768.97015
296,813.55835,706.494
297,818.24677,775.9758
298,963.6749,726.61957
299,840.42773,616.9849
300,675.71783,816.4832
301,915.06464,634.04565
302,600.96936,636.4518
303,835.9904,997.5252
304,829.94385,781.69946
305,701.3409,769.1753
306,790.72644,794.3779
307,653.20667,717.9983
308,822.31396,714.2729
309,676.9494,1215.1982
310,1143.2904,617.2756
311,693.0594,679.74133
312,667.0131,817.4331
313,717.94037,858.30115
314,734.98517,662.8446
315,652.1798,707.98706
316,636.98206,711.77423
317,637.5525,739.98987
318,881.0093,600.00085
319,663.4468,509.61475
320,506.66837,726.486
321,729.4484,1063.3981
322,849.7473,861.11084
323,973.091,1153.057
324,1020.28876,984.964
325,1008.99304,880.0641
326,883.3879,1076.9714
327,787.10706,813.44275
328,659.7031,750.9151
329,939.481,865.2477
330,918.8002,1044.6611
331,1294.3279,619.6576
332,850.70526,924.22473
333,955.0835,943.1791
334,867.49164,849.72864
335,890.70135,859.6051
336,1630.9028,1160.6519
337,755.1513,945.5841
338,881.6168,592.9639
339,749.674,902.8024
340,1002.53204,1159.7219
341,759.3715,1113.992
