epoch,metric1,metric2
1,-168.30087,-635.14307
2,-231.85472,-573.40137
3,-224.63597,-546.88715
4,-369.4448,-565.2107
5,-196.36497,-551.7795
6,-402.90292,-255.90942
7,-367.8004,-429.75018
8,-171.1964,-392.18884
9,-249.31273,-494.59897
10,-255.00714,-621.66187
11,-627.96545,-456.36295
12,-472.01874,-69.372635
13,-220.00539,-482.81894
14,-500.15463,-414.3527
15,-407.1282,-328.48798
16,-286.99982,-297.1691
17,-316.36218,-239.38025
18,-196.49632,-168.514
19,-164.84785,183.1207
20,41.83342,147.13785
21,468.684,297.70407
22,503.15607,791.5122
23,900.8928,791.24036
24,853.511,882.63556
25,797.3718,1022.71094
26,1169.1359,571.6508
27,184.19704,879.3332
28,1316.4519,812.8847
29,1815.0985,1721.0242
30,1873.1113,1122.2849
31,606.1521,1181.3286
32,1184.353,1390.163
33,674.16364,1237.3285
34,1094.2754,1449.6554
35,1023.2431,1901.822
36,706.8305,1468.5994
37,2197.5957,1837.9602
38,2250.1387,2132.4375
39,1013.2304,2501.1887
40,2481.4697,2615.9526
41,2387.9165,2375.4956
42,2550.0193,2499.2478
43,2572.4033,2635.441
44,2654.26,2520.7107
45,2865.574,2428.8333
46,3051.3145,2523.9883
47,2920.8276,2856.6765
48,2972.5044,3323.3894
49,3452.2249,3047.606
50,3493.1462,2689.2593
51,2643.295,3322.5566
52,3223.4795,2951.1938
53,3489.3218,3634.1929
54,3302.9045,3437.0828
55,3938.955,3821.4312
56,3778.3042,4067.398
57,4047.5483,3235.4155
58,1400.0283,3745.7708
59,4086.8975,4122.118
60,3930.9626,4083.9949
61,3905.9932,4326.925
62,4311.174,4051.1907
63,3900.7014,4212.704
64,697.14905,3773.3906
65,1220.2874,3545.5403
66,4104.528,4353.649
67,4054.1824,4359.271
68,4330.177,4413.3535
69,4595.181,4699.264
70,4769.381,4592.1807
71,4307.1963,4863.157
72,4779.361,4992.792
73,4740.348,5177.827
74,4993.7188,5151.3335
75,4798.348,4889.278
76,4914.5977,4613.331
77,4566.518,5166.9326
78,4957.598,5047.659
79,4797.253,5313.4336
80,5189.6006,5462.6357
81,5058.727,5355.3496
82,5176.258,5363.398
83,5027.2876,5502.8267
84,5111.2095,5614.606
85,5190.357,5051.438
86,4906.7407,5385.5034
87,5119.8345,5809.4717
88,5355.536,4930.3975
89,4779.186,5519.8164
90,5228.5156,5446.712
91,5187.4785,5533.272
92,5496.3984,5031.9673
93,4990.9146,5572.56
94,5477.969,5733.3096
95,5468.0503,5429.294
96,5451.4766,5774.0347
97,5471.795,5547.24
98,5439.1353,5521.2295
99,5265.0938,5579.0693
100,5402.7163,5808.5225
101,5394.7393,5906.092
102,5648.732,5506.1187
103,5490.052,5885.9077
104,5509.5703,5827.3623
105,5698.4575,5925.5435
106,5460.137,5264.949
107,5485.188,5753.845
108,5620.5996,5763.0713
109,5785.695,5416.153
110,5671.967,5719.45
111,5509.577,5881.3403
112,5670.421,6062.986
113,5905.255,5858.8013
114,5580.163,5400.4375
115,5193.301,6046.711
116,5510.021,6024.165
117,5943.6636,6144.6484
118,5910.022,5640.5312
119,5995.0977,5862.1377
120,5709.58,6048.563
121,5813.936,5901.945
122,5782.3506,6004.6963
123,5783.355,6302.124
124,6217.827,6229.048
125,5959.997,6197.105
126,5962.4575,6352.504
127,6228.613,6034.8574
128,6032.6733,6437.696
129,6068.0303,5373.952
130,1770.8882,5905.277
131,5798.2305,4802.5103
132,5599.193,6187.273
133,6078.419,6414.3877
134,6212.745,6362.395
135,5929.3975,6341.1587
136,5885.9775,6148.413
137,5901.165,6300.3506
138,6099.586,6422.96
139,6368.5444,6700.604
140,6413.3955,6579.236
141,6303.193,6443.9155
142,6021.2236,6135.362
143,6402.3,6556.2695
144,6322.6665,6454.3945
145,5931.9985,6575.646
146,6256.8525,6789.2983
147,6308.661,6751.921
148,6527.646,6526.437
149,6504.7915,6512.3447
150,6168.2954,6591.5166
151,6264.2383,6770.625
152,6804.538,6611.4126
153,6263.503,6365.296
154,6266.1704,6769.5444
155,6435.0977,6595.8955
156,6374.5376,6951.7993
157,6442.224,7113.3594
158,6747.2515,6850.6807
159,6381.6934,6618.138
160,6623.6357,6892.1904
161,6766.9863,6898.111
162,3376.579,6846.836
163,6433.14,7083.2554
164,6620.915,7019.017
165,6941.487,6574.496
166,6690.5225,7168.647
167,6275.9775,7161.889
168,6670.488,6965.025
169,6797.8247,7218.579
170,1955.5441,6817.508
171,6530.9243,7107.8115
172,6961.8477,7031.457
173,6757.107,7030.0327
174,6873.8457,7322.3916
175,6797.612,6603.096
176,6570.615,7388.629
177,6924.0767,6773.169
178,6716.317,7215.75
179,6803.442,7260.618
180,7065.096,7304.078
181,6884.183,7465.1577
182,7103.8403,6926.2354
183,6544.9775,7524.0015
184,7091.4478,7557.0093
185,7145.4487,7124.8228
186,6618.2354,7265.6562
187,6970.498,7366.6064
188,7089.948,7579.1016
189,7067.786,7502.6406
190,6971.862,7574.0264
191,7026.983,6873.0728
192,6851.5005,7441.553
193,6981.7295,7579.7163
194,6919.1377,7356.3623
195,7048.5054,7588.0967
196,7320.844,6322.3306
197,7022.3394,7181.022
198,7622.1284,7409.913
199,4867.806,7048.3296
200,1621.3264,7167.374
201,7542.626,6842.3
202,7182.124,7748.878
203,7210.5767,7716.1157
204,7272.5806,7736.341
