Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	127.80592	41.007572	239.5341	78.60912	66.23439	0.14367732	66.43447	66.02144	25.333334	14.0	999	9.740413	2.998987	17.423082	-1.7095279	9.73992	3.0011497	17.505966	-2.1657217	-10.170156	0.34069917	18.36289119720459
2	127.255066	39.39018	231.4267	83.33263	66.165436	0.10568646	66.38605	66.026566	25.125	14.0	1999	19.648552	4.693156	31.298042	2.5836606	19.648617	4.691473	31.230396	0.7346474	-20.221312	0.65903467	18.166462421417236
3	121.5096	33.915092	223.68933	78.38629	66.21915	0.08083095	66.36867	66.08115	24.365854	14.0	2999	29.47621	7.4636602	43.594444	-0.9631165	29.47668	7.459835	43.287315	-4.266417	-30.069675	1.3716826	18.567075729370117
4	124.035355	35.546326	233.43182	83.31819	66.13282	0.116874255	66.36209	65.982956	24.9	14.0	3999	37.458054	10.966203	54.369724	-7.1590543	37.457977	10.964754	54.043713	-7.639502	-37.45144	1.9087588	18.82050347328186
5	123.126915	33.44845	212.58798	83.31834	66.287704	0.104302324	66.41655	66.09255	24.682926	14.0	4999	42.911293	14.719566	63.82821	-7.50616	42.91158	14.716222	63.315857	-5.3119698	-41.952545	2.5925937	18.839242219924927
6	120.81904	33.310596	197.36899	78.66938	66.125374	0.08510388	66.268456	65.94101	24.024391	14.0	5999	44.66255	18.515833	71.506096	-14.742615	44.662914	18.513802	70.58676	-12.400802	-42.083096	3.58054	19.022921085357666
7	128.40036	37.76846	226.22041	83.68371	66.21406	0.08277866	66.326294	66.06768	25.589743	14.0	6999	42.45416	20.51273	73.706154	-6.5348425	42.454052	20.510824	73.387505	-10.477548	-38.312542	5.29783	18.809123992919922
8	123.44706	41.793903	269.83374	83.29712	66.105835	0.091253884	66.22558	65.93166	24.5	14.0	7999	37.248352	19.39076	74.91662	-4.8794303	37.249344	19.393637	75.42993	-7.138093	-32.180122	7.107364	18.7741539478302
9	126.28588	37.452282	223.12358	83.314156	73.972145	2.4656122	76.13946	70.83172	25.170732	15.6	8999	38.69098	18.912712	86.36948	-3.7820683	38.692375	18.916544	85.215744	-6.0181804	-40.807365	8.870449	18.547052145004272
10	120.43638	39.47819	222.84468	78.47015	72.95703	2.5165186	76.171326	70.710915	24.024391	15.4	9999	56.331684	24.203445	110.54194	-1.128582	56.331955	24.2084	109.07471	-3.822408	-64.47712	10.728483	18.599756240844727
11	79.3733	17.966692	217.95436	76.294945	73.97985	2.41548	76.18441	70.80796	16.508196	15.6	10999	70.933426	29.60101	127.917244	-9.820298	70.932304	29.603489	128.14201	-13.228784	-77.90905	12.72969	18.72744059562683
12	76.89356	1.2607746	82.81221	71.38949	72.868706	2.2786176	75.789764	70.88413	16.015873	15.4	11999	77.64895	34.849987	139.6729	-8.286246	77.65005	34.849003	135.7813	-6.856634	-81.73752	11.232169	18.777313232421875
13	76.543526	0.6682604	77.17396	71.60031	71.96806	2.003276	75.985825	70.784836	15.9838705	15.2	12999	78.661446	38.988995	142.50098	-9.740128	78.66204	38.98856	142.65744	-10.27445	-80.82967	11.30993	18.695847511291504
14	76.55035	1.2265809	82.86653	71.445366	72.37685	2.1301348	75.820244	70.89426	15.984127	15.3	13999	76.97859	41.396824	145.89546	-5.40454	76.97828	41.39849	145.95302	-5.2020993	-77.9965	10.2861395	18.876250505447388
15	76.65705	0.24677756	77.27102	76.225945	85.54227	3.3682392	93.06923	80.98917	16.0	19.4	14999	74.25556	42.79249	149.35637	-4.117883	74.25515	42.793472	149.62079	-4.9615927	-75.17576	10.139967	18.775153398513794
16	91.401085	5.955524	104.30713	76.327446	86.45574	3.9987972	92.96781	81.250786	20.875	19.5	15999	72.90367	42.56061	154.55618	-8.22858	72.90294	42.55884	153.07866	-15.809608	-73.43291	15.132606	18.74307107925415
17	93.32312	6.607868	107.84811	80.8551	253.30777	6.3541965	259.55426	242.36305	21.51064	47.0	16999	70.37824	41.593292	157.70267	-9.2058115	70.378815	41.595245	160.42976	-5.921247	-71.153755	16.139463	19.172791242599487
