Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	121.5493	33.164124	232.49733	83.30753	356.6002	29.104889	398.31625	320.73846	24.121952	71.3	999	10.000515	2.8987715	16.90085	-1.0876787	9.998732	2.9033554	17.116726	-1.7700615	-10.223676	0.35333025	19.50625967979431
2	119.17085	33.03044	195.63197	83.29881	105.61775	8.543242	126.73503	98.71863	23.761906	21.2	1999	18.830639	4.504454	28.933788	2.4493287	18.830881	4.500275	29.105268	2.7071624	-18.90947	0.59256124	18.601980209350586
3	119.65177	32.43119	229.87039	83.176956	75.7715	0.1582316	75.944725	75.383736	23.619047	16.0	2999	27.727211	7.2728157	40.973854	-5.9037485	27.72742	7.2713633	41.5066	-1.1381637	-27.840672	1.2158452	18.798563241958618
4	127.134056	37.35352	222.22112	83.2599	71.43957	1.4756515	75.85695	70.84605	25.45	15.1	3999	37.555847	11.226716	56.495758	-4.3101244	37.556454	11.228564	56.295803	-5.840895	-39.720314	1.7622956	18.87050151824951
5	120.86026	39.04776	303.8114	88.402664	71.88012	1.9383994	75.86566	70.65588	23.95122	15.2	4999	48.16602	15.565765	71.17524	-14.350961	48.165947	15.566488	70.95748	-11.667928	-50.964165	2.7968767	18.962791681289673
6	124.877266	36.654972	220.71698	83.28603	288.51617	9.595801	298.75107	272.33368	24.707317	55.2	5999	58.03053	20.471546	87.46163	-4.1444883	58.030674	20.473593	88.01092	-4.724875	-61.72922	4.112151	19.762132167816162
7	122.154335	32.543377	204.47394	78.67829	80.463974	0.10868774	80.63141	80.28145	24.268293	17.0	6999	68.039795	25.320929	102.47061	-26.178963	68.03949	25.322542	102.36697	-24.144167	-72.635414	6.0649037	18.927308559417725
8	126.84414	29.658041	210.66702	83.399124	80.48636	0.19391273	80.85204	80.208176	25.275	17.0	7999	77.40864	30.260315	117.836	-11.39729	77.40887	30.263279	118.356026	-6.4557824	-82.64708	8.418723	19.032821893692017
9	121.69232	30.132431	201.09874	83.51463	80.492645	0.1805577	80.69729	80.03488	24.292683	17.0	8999	86.06443	35.735855	136.86641	-15.244464	86.0646	35.740692	135.95723	-11.853563	-92.06335	12.04346	19.16683864593506
10	124.96633	37.923714	236.62706	83.440605	80.48729	0.14617899	80.67967	80.22593	24.8	17.0	9999	94.7416	41.270657	152.59492	-18.766148	94.74088	41.2749	151.90266	-9.5264845	-102.00796	16.616997	18.95867085456848
