epoch,metric1,metric2
1,119.63785,70.94579
2,122.27456,70.88481
3,131.85748,75.15095
4,122.48102,75.68977
5,118.829704,75.635086
6,120.38898,75.621826
7,116.36584,75.60664
8,136.3229,75.62787
9,129.38281,75.66388
10,118.16927,75.63804
11,76.64856,75.696495
12,75.706985,75.68374
13,76.07224,75.176216
14,76.13242,75.6587
15,75.6725,75.66926
16,76.04671,75.64344
17,76.0668,75.65316
18,76.14825,75.69238
19,76.31935,75.680176
20,75.59391,75.21452
21,75.696175,75.62077
22,75.77016,75.63409
23,76.08228,75.64534
24,75.75113,75.59563
25,76.06169,75.62092
26,75.76155,75.63597
27,75.67903,75.60249
28,75.981514,75.582375
29,76.052414,75.61192
30,76.00824,75.69489
31,75.903786,75.70137
32,75.68962,75.69157
33,75.9292,75.185585
34,76.12845,75.26793
35,75.995544,75.640976
36,75.84279,75.58345
37,76.07176,75.69248
38,75.68467,75.594955
39,75.69941,75.575134
40,75.71688,75.15294
41,75.765144,75.68285
42,75.97127,75.56506
43,75.37448,75.703705
44,76.00987,75.1688
45,75.92365,75.11283
46,75.626396,75.62672
47,75.92489,75.63314
48,76.00121,75.596146
49,75.86144,74.71368
50,75.97355,75.703476
51,76.13538,75.20733
52,75.7642,75.61173
53,76.25245,75.69798
54,76.08651,75.61754
55,75.80714,75.70289
56,76.16744,75.21503
57,75.83764,75.57499
58,75.56152,75.61007
59,76.0067,75.63004
60,75.9668,75.650085
61,75.762215,75.72414
62,75.59993,75.64815
63,76.06493,75.63039
64,75.94031,75.62218
65,75.84375,75.631004
66,76.07003,75.2151
67,76.15039,75.19522
68,76.07358,75.63124
69,75.66726,75.19518
70,76.27691,75.650856
71,76.09844,75.65428
72,75.914635,75.67418
73,76.09874,75.627945
74,75.639534,75.66166
75,76.05331,75.72112
76,76.16974,75.57114
77,76.09054,75.626755
78,75.80642,75.61456
79,75.620316,75.60146
80,75.73173,75.70082
81,75.83036,75.59442
82,75.68183,75.66646
83,76.16403,75.59574
