epoch,metric1,metric2
1,-353.08472,-586.681
2,-329.78934,-564.25684
3,-315.28665,-532.6145
4,-276.8098,-495.87997
5,-335.27103,-325.7374
6,-238.95592,-324.1031
7,-207.65564,-327.75546
8,-187.17668,-540.29944
9,-190.9117,-602.4596
10,-361.70618,-599.61633
11,-769.162,-528.74677
12,-458.5262,-439.46942
13,-317.8747,-471.9787
14,-349.5815,-445.6142
15,-422.72968,-309.95874
16,-247.99838,-372.0229
17,-325.84665,-279.5357
18,-196.60976,-351.02283
19,-103.21155,-30.555054
20,8.955712,114.10195
21,91.92126,340.81613
22,547.06885,485.6513
23,575.2411,543.748
24,932.4386,723.15796
25,573.91046,925.111
26,1006.1185,1164.6833
27,1009.5485,1457.3972
28,1368.0326,1500.2518
29,1439.588,1519.4869
30,1639.6656,1684.8695
31,1357.8114,1992.4602
32,1855.5302,2192.3904
33,1751.8057,2155.9646
34,2189.9304,2360.214
35,2104.84,2357.465
36,2481.5776,2321.7866
37,2348.2815,2703.9067
38,2718.7527,3233.9392
39,3058.9355,3350.3833
40,3207.411,3730.4192
41,3517.7485,4300.5713
42,3934.6858,3981.716
43,3290.8325,4158.0283
44,3290.3057,4026.2122
45,3434.649,4083.1536
46,3852.8452,4097.157
47,3826.7083,4361.4194
48,3894.2058,4928.306
49,4234.8765,4923.323
50,4545.85,5016.2056
51,4645.3193,4898.3364
52,4481.404,5163.702
53,4603.987,5184.6265
54,4680.0327,5369.6826
55,4512.9287,4893.8315
56,4644.542,5271.8174
57,4812.7427,5379.5474
58,4998.5303,5479.302
59,4753.769,5537.1963
60,5128.6675,5461.9307
61,5021.224,5986.6475
62,700.4538,5323.9053
63,959.17224,5732.829
64,5071.938,5749.786
65,5085.3374,5670.354
66,5062.235,5837.2715
67,5225.018,5673.059
68,5263.913,5698.6997
69,5310.59,5855.5845
70,5251.4414,5694.714
71,5285.783,5959.1924
72,5311.809,5926.9463
73,5435.5547,5785.5923
74,5294.1514,5840.228
75,5231.7144,6019.503
76,5554.733,5783.415
77,5533.1846,6024.175
78,5435.265,6095.1533
79,5441.943,5740.9336
80,5262.5938,6124.2456
81,5675.5137,5946.1226
82,5417.8765,6038.755
83,5523.1055,6047.399
84,5584.731,5990.764
85,5551.559,6183.552
86,5627.77,6209.8115
87,5715.5605,6086.9272
