Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	119.07159	31.668802	185.94565	83.14053	75.370346	1.159986	77.56495	74.20773	23.658537	16.2	999	10.108087	3.0052395	18.121002	-1.2783198	10.107218	3.007262	17.793955	-1.6430746	-10.596895	0.37521	18.475808143615723
2	119.90251	34.503586	211.06378	83.43369	75.150795	1.0579443	78.01164	74.23002	23.860466	16.1	1999	19.181963	4.4735274	29.602736	2.1221416	19.182344	4.4729795	28.988949	2.462479	-19.00258	0.71140224	18.74785327911377
3	119.69069	33.199856	205.18785	83.46169	76.410774	1.6048814	78.70538	74.287796	23.642857	16.4	2999	27.9245	7.455673	42.705803	-2.646018	27.924692	7.455498	42.955162	-2.1982858	-27.859539	1.4497948	18.85568594932556
4	128.42714	39.169983	264.31998	83.52295	74.88139	1.0938332	77.933685	73.879295	25.589743	16.1	3999	35.70578	11.306947	55.328266	-4.9993925	35.705593	11.305616	55.108257	-5.5365295	-36.04405	1.8980017	18.808236360549927
5	119.31647	28.388187	204.94579	83.254524	75.2869	1.2895103	78.93573	74.24198	23.857143	16.1	4999	42.31065	15.370099	66.16539	-11.484426	42.31099	15.3668	66.85688	-13.355633	-42.584038	2.6741724	18.951481342315674
6	119.5065	34.70265	208.60892	83.38901	92.75161	2.376803	96.71616	91.00433	23.880953	19.3	5999	48.1834	19.144135	80.66266	-3.9131901	48.182796	19.142473	78.74599	-4.6214495	-49.578125	4.286416	18.885199546813965
7	123.04778	37.376663	210.597	78.535194	99.344055	14.572184	140.5323	85.67808	24.512196	20.5	6999	58.398643	22.721838	95.490685	-4.7930303	58.399773	22.720165	96.4027	-5.6278157	-62.677177	5.7701716	18.639129877090454
8	124.37081	37.765152	270.85568	83.40885	103.82231	21.406218	146.29031	90.94094	24.65	21.3	7999	68.86783	27.02415	109.14703	-9.051317	68.86775	27.021606	107.69958	-13.566384	-74.00725	8.061551	19.380985736846924
9	123.56749	34.154156	212.3658	83.396225	94.87515	3.5128944	102.13186	90.99482	24.585365	19.7	8999	78.74071	32.00274	124.8429	-8.043931	78.74038	32.000454	124.82981	-11.258265	-84.79101	11.683794	19.328627109527588
10	123.70461	33.82384	230.32086	83.336914	92.68792	4.162145	101.95959	86.10951	24.512196	19.3	9999	88.77969	37.32267	142.33	-23.756884	88.779915	37.319168	140.44376	-30.052713	-95.81975	14.902123	19.381532669067383
11	112.28509	17.091948	152.4485	91.84499	97.07283	16.497807	146.36435	90.8103	22.704546	20.1	10999	94.869125	41.730762	151.4587	-13.5315075	94.868416	41.725132	150.99272	-7.8708725	-99.47427	25.703325	19.43546175956726
12	114.28455	20.592333	168.18248	91.98634	99.72217	17.642773	150.43521	90.78924	23.04651	20.6	11999	94.678116	44.52272	158.91554	-16.200848	94.678154	44.519207	157.2868	-9.686956	-97.5372	18.560446	19.347163200378418
13	108.1942	18.291573	161.67085	91.79435	98.13588	16.140177	145.48178	90.930916	21.956522	20.3	12999	91.13655	45.477524	161.6725	-18.633026	91.13618	45.47342	158.0668	-14.501352	-92.374535	18.023113	19.397593021392822
14	113.21064	20.79706	168.68108	91.92842	93.267296	3.7772515	102.51795	90.76536	22.83721	19.4	13999	85.557365	44.432446	158.34418	-11.9588375	85.55714	44.42825	158.1964	-13.666062	-85.4626	17.306019	19.16232395172119
15	116.06348	19.601667	159.31729	91.7339	93.307755	2.6253536	96.826744	90.93048	23.348837	19.4	14999	80.48333	42.421333	152.90602	-11.084935	80.48467	42.417587	153.08731	-13.042642	-80.40403	16.54311	19.445445775985718
16	111.31567	19.60536	162.83922	91.95077	92.23111	3.2508523	96.83316	85.99228	22.48889	19.2	15999	76.73003	41.3861	148.74348	-12.808003	76.72984	41.382137	151.06061	-10.278477	-77.185455	15.377803	19.3166925907135
17	113.17697	19.86467	153.89633	91.84034	92.283165	2.2175534	96.746826	90.89894	22.818182	19.2	16999	73.72825	40.689457	152.2252	-4.51427	73.72852	40.685665	152.59296	-7.288563	-74.10881	14.770534	19.378387928009033
18	109.874176	15.754862	146.94888	91.88875	93.760544	3.5891833	96.79268	86.00611	22.266666	19.5	17999	70.8832	39.58822	154.9148	-5.0684037	70.88337	39.584274	154.76692	-3.0502524	-71.2223	14.532564	19.362300872802734
19	107.97781	16.277153	167.95145	92.403046	93.98773	2.65268	96.790405	90.80883	21.866667	19.5	18999	68.20466	38.077103	157.18446	-3.9291303	68.205284	38.073967	159.11368	-5.029156	-68.41183	13.978953	19.291706800460815
20	111.4167	17.073393	149.19846	87.23599	93.76735	4.4270964	101.907394	85.49108	22.48889	19.5	19999	65.72133	36.347557	159.29756	-4.2266293	65.72071	36.34449	157.92949	-6.2833242	-65.5204	14.068279	19.209800004959106
21	111.21514	19.740973	152.46094	91.8808	94.46307	3.5654879	101.82724	90.92759	22.454546	19.6	20999	63.883427	34.70903	161.49431	-4.342029	63.883366	34.708492	160.34593	-2.6490223	-63.838966	14.088369	19.220978021621704
22	114.239204	18.43381	160.15532	92.11932	91.60034	3.6640344	96.4241	85.70445	23.068182	19.1	21999	62.408386	33.42496	157.80396	-4.3123407	62.40853	33.422462	158.839	-2.9570768	-62.296207	14.312037	19.221148014068604
